,Unnamed: 0,Method,$\epsilon$,MMD
314,14,ABC-RS (ours),10%,0.3205369901531931
315,15,ABC-RS (ours),10%,0.3032420967018445
316,16,ABC-RS (ours),10%,0.1358284168213851
317,17,ABC-RS (ours),10%,0.0207327050017669
318,18,ABC-RS (ours),10%,0.4777290230223652
319,19,ABC-RS (ours),10%,0.2000243668616133
320,20,ABC-RS (ours),10%,1.2285546367002451
321,21,ABC-RS (ours),10%,0.1315115159758528
322,22,ABC-RS (ours),10%,0.3399435050072666
323,23,ABC-RS (ours),10%,0.0491019589434126
324,24,ABC-RS (ours),10%,0.224534289422111
325,25,ABC-RS (ours),10%,0.135177695730804
326,26,ABC-RS (ours),10%,0.4640443269689263
327,27,ABC-RS (ours),10%,0.0950326254218328
328,28,ABC-RS (ours),10%,0.5164000256315592
329,29,ABC-RS (ours),10%,0.3571475085370172
330,30,ABC-RS (ours),10%,0.3655645198011877
331,31,ABC-RS (ours),10%,0.1829112832204996
332,32,ABC-RS (ours),10%,0.0739805597175693
333,33,ABC-RS (ours),10%,0.3436240389363116
334,34,ABC-RS (ours),10%,0.3966169151945031
335,35,ABC-RS (ours),10%,0.3757435326414047
336,36,ABC-RS (ours),10%,0.0187105441376137
337,37,ABC-RS (ours),10%,0.2317252371891203
338,38,ABC-RS (ours),10%,0.6306398771453644
339,39,ABC-RS (ours),10%,0.4426877693276608
340,40,ABC-RS (ours),10%,0.272712762770009
341,41,ABC-RS (ours),10%,0.0571339569539153
342,42,ABC-RS (ours),10%,0.3163212068602709
343,43,ABC-RS (ours),10%,0.2341220329903486
344,44,ABC-RS (ours),10%,0.1682565418442975
345,45,ABC-RS (ours),10%,0.245035339622919
346,46,ABC-RS (ours),10%,0.3042078857278614
347,47,ABC-RS (ours),10%,0.3198497541736866
348,48,ABC-RS (ours),10%,0.2344853035518328
349,49,ABC-RS (ours),10%,0.3169429622189438
350,50,ABC-RS (ours),10%,0.409183623813571
351,51,ABC-RS (ours),10%,0.1189392412717261
352,52,ABC-RS (ours),10%,0.3662520975869973
353,53,ABC-RS (ours),10%,0.037750766132432
354,54,ABC-RS (ours),10%,0.1868691459362136
355,55,ABC-RS (ours),10%,0.904051488158365
356,56,ABC-RS (ours),10%,0.2414381325496458
357,57,ABC-RS (ours),10%,0.3998062547829282
358,58,ABC-RS (ours),10%,0.1409164770815831
359,59,ABC-RS (ours),10%,0.383798593116283
360,60,ABC-RS (ours),10%,0.1114495281196418
361,61,ABC-RS (ours),10%,0.270388409361076
362,62,ABC-RS (ours),10%,0.2019510885407102
363,63,ABC-RS (ours),10%,0.2646240730747978
364,64,ABC-RS (ours),10%,0.3123740696570548
365,65,ABC-RS (ours),10%,0.2099309537578315
366,66,ABC-RS (ours),10%,0.3416944819208728
367,67,ABC-RS (ours),10%,0.1613508078406422
368,68,ABC-RS (ours),10%,0.3429939142422831
369,69,ABC-RS (ours),10%,0.2381430879495272
370,70,ABC-RS (ours),10%,0.1332179300192499
371,71,ABC-RS (ours),10%,0.3022720564664068
372,72,ABC-RS (ours),10%,0.078990655032283
373,73,ABC-RS (ours),10%,0.3137164631320944
374,74,ABC-RS (ours),10%,0.4185120512956148
375,75,ABC-RS (ours),10%,0.1052430400942779
376,76,ABC-RS (ours),10%,0.177336783440305
377,77,ABC-RS (ours),10%,0.2175922172676441
378,78,ABC-RS (ours),10%,0.4068843279229378
379,79,ABC-RS (ours),10%,0.1845816330188721
380,80,ABC-RS (ours),10%,0.2024221304172476
381,81,ABC-RS (ours),10%,0.6050700855258303
382,82,ABC-RS (ours),10%,0.2968773296039508
383,83,ABC-RS (ours),10%,0.3411077405338962
384,84,ABC-RS (ours),10%,0.2286157350994397
385,85,ABC-RS (ours),10%,0.0432239305144336
386,86,ABC-RS (ours),10%,0.2566460931891423
387,87,ABC-RS (ours),10%,0.0547326608298828
388,88,ABC-RS (ours),10%,0.1009678513516941
389,89,ABC-RS (ours),10%,0.2280076183012191
390,90,ABC-RS (ours),10%,0.3313220234298323
391,91,ABC-RS (ours),10%,0.4711613840222426
392,92,ABC-RS (ours),10%,0.2950434266627761
393,93,ABC-RS (ours),10%,0.0491457522158178
394,94,ABC-RS (ours),10%,0.1997169473966716
395,95,ABC-RS (ours),10%,0.0225073458289926
396,96,ABC-RS (ours),10%,0.139201850644152
