,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Method,$\epsilon$,MMD
221,221,221,221,21,NPE-RS (ours),0%,0.000387100734567
222,222,222,222,22,NPE-RS (ours),0%,0.0010063730822009
223,223,223,223,23,NPE-RS (ours),0%,0.0033297498886863
224,224,224,224,24,NPE-RS (ours),0%,0.0005832560872505
225,225,225,225,25,NPE-RS (ours),0%,0.0004033226212158
226,226,226,226,26,NPE-RS (ours),0%,0.0004369558482455
227,227,227,227,27,NPE-RS (ours),0%,0.0004119448783093
228,228,228,228,28,NPE-RS (ours),0%,0.0307868112064876
229,229,229,229,29,NPE-RS (ours),0%,0.0023324250890415
230,230,230,230,30,NPE-RS (ours),0%,0.0055157073701016
231,231,231,231,31,NPE-RS (ours),0%,0.0010039438506511
232,232,232,232,32,NPE-RS (ours),0%,0.0005084304674944
233,233,233,233,33,NPE-RS (ours),0%,0.0009920945953362
234,234,234,234,34,NPE-RS (ours),0%,0.0006324403338793
235,235,235,235,35,NPE-RS (ours),0%,0.04886958619045
236,236,236,236,36,NPE-RS (ours),0%,0.0059729299367645
237,237,237,237,37,NPE-RS (ours),0%,0.0564142461318472
238,238,238,238,38,NPE-RS (ours),0%,0.0006602088340618
239,239,239,239,39,NPE-RS (ours),0%,0.0006064677531875
240,240,240,240,40,NPE-RS (ours),0%,0.0004705642802816
241,241,241,241,41,NPE-RS (ours),0%,0.0065853965549942
242,242,242,242,42,NPE-RS (ours),0%,0.0107674237169589
243,243,243,243,43,NPE-RS (ours),0%,0.0042301171439158
244,244,244,244,44,NPE-RS (ours),0%,0.0088404109832168
245,245,245,245,45,NPE-RS (ours),0%,0.2048149348989805
246,246,246,246,46,NPE-RS (ours),0%,0.0004850847931355
247,247,247,247,47,NPE-RS (ours),0%,0.1578421070019927
248,248,248,248,48,NPE-RS (ours),0%,0.0610141336192141
249,249,249,249,49,NPE-RS (ours),0%,0.0004355655633478
250,250,250,250,50,NPE-RS (ours),0%,0.0006362736712538
251,251,251,251,51,NPE-RS (ours),0%,0.0024534895226231
252,252,252,252,52,NPE-RS (ours),0%,0.0007524829393859
253,253,253,253,53,NPE-RS (ours),0%,0.000427973323797
254,254,254,254,54,NPE-RS (ours),0%,0.0004186729104289
255,255,255,255,55,NPE-RS (ours),0%,0.0216288225173914
256,256,256,256,56,NPE-RS (ours),0%,0.0004131999157733
257,257,257,257,57,NPE-RS (ours),0%,0.068559155638368
258,258,258,258,58,NPE-RS (ours),0%,0.0005259911269634
259,259,259,259,59,NPE-RS (ours),0%,0.0030739429219086
260,260,260,260,60,NPE-RS (ours),0%,0.0002980673843996
261,261,261,261,61,NPE-RS (ours),0%,0.0037754508891426
262,262,262,262,62,NPE-RS (ours),0%,0.0007846923062723
263,263,263,263,63,NPE-RS (ours),0%,0.0008737343349711
264,264,264,264,64,NPE-RS (ours),0%,0.0004470351382012
265,265,265,265,65,NPE-RS (ours),0%,0.0004516212148765
266,266,266,266,66,NPE-RS (ours),0%,0.0024195126020659
267,267,267,267,67,NPE-RS (ours),0%,0.0096217603599798
268,268,268,268,68,NPE-RS (ours),0%,0.000352164533348
269,269,269,269,69,NPE-RS (ours),0%,0.0404807237622121
270,270,270,270,70,NPE-RS (ours),0%,
271,271,271,271,71,NPE-RS (ours),0%,0.0010129447386585
272,272,272,272,72,NPE-RS (ours),0%,0.0004872044065988
273,273,273,273,73,NPE-RS (ours),0%,0.0037127052728268
274,274,274,274,74,NPE-RS (ours),0%,0.0334999005326124
275,275,275,275,75,NPE-RS (ours),0%,0.0374462626346391
276,276,276,276,76,NPE-RS (ours),0%,0.0214466869303462
277,277,277,277,77,NPE-RS (ours),0%,0.0013256477440193
278,278,278,278,78,NPE-RS (ours),0%,
279,279,279,279,79,NPE-RS (ours),0%,0.0535725807420361
280,280,280,280,80,NPE-RS (ours),0%,0.0006142520657567
281,281,281,281,81,NPE-RS (ours),0%,0.0165717757950316
282,282,282,282,82,NPE-RS (ours),0%,0.0026097041349157
283,283,283,283,83,NPE-RS (ours),0%,0.0008231148809866
284,284,284,284,84,NPE-RS (ours),0%,0.1940513344271545
285,285,285,285,85,NPE-RS (ours),0%,0.0003894765926
286,286,286,286,86,NPE-RS (ours),0%,0.0585844276426618
287,287,287,287,87,NPE-RS (ours),0%,0.0004798680557118
288,288,288,288,88,NPE-RS (ours),0%,0.0004747818094001
289,289,289,289,89,NPE-RS (ours),0%,0.000542121521916
290,290,290,290,90,NPE-RS (ours),0%,5.960599929633048e-05
291,291,291,291,91,NPE-RS (ours),0%,0.0672986483904906
292,292,292,292,92,NPE-RS (ours),0%,0.000367515194851
293,293,293,293,93,NPE-RS (ours),0%,0.0013581996513506
294,294,294,294,94,NPE-RS (ours),0%,0.0004179927844701
295,295,295,295,95,NPE-RS (ours),0%,0.0020467632507314
296,296,296,296,96,NPE-RS (ours),0%,0.0018176986707566
297,297,297,297,97,NPE-RS (ours),0%,0.0003926038855988
298,298,298,298,98,NPE-RS (ours),0%,0.0042485758135317
299,299,299,299,99,NPE-RS (ours),0%,0.0629777222835462
300,300,300,300,0,NPE,10%,0.2539358329373244
301,301,301,301,1,NPE,10%,0.0611542003073914
302,302,302,302,2,NPE,10%,0.2714559740331803
303,303,303,303,3,NPE,10%,0.1271174828303464
304,304,304,304,4,NPE,10%,0.0176188234080368
305,305,305,305,5,NPE,10%,0.3753248015660477
306,306,306,306,6,NPE,10%,0.2421738680166217
307,307,307,307,7,NPE,10%,0.2543975773872349
308,308,308,308,8,NPE,10%,0.4411869650169053
309,309,309,309,9,NPE,10%,0.2426086443931043
310,310,310,310,10,NPE,10%,0.4766851359635
311,311,311,311,11,NPE,10%,0.3117773410106591
312,312,312,312,12,NPE,10%,0.3066776231013963
313,313,313,313,13,NPE,10%,0.3004138751685542
314,314,314,314,14,NPE,10%,0.5334574476439947
315,315,315,315,15,NPE,10%,0.348987785750236
316,316,316,316,16,NPE,10%,
317,317,317,317,17,NPE,10%,0.3646568566116189
318,318,318,318,18,NPE,10%,0.4133303395842426
319,319,319,319,19,NPE,10%,
320,320,320,320,20,NPE,10%,0.4442671708574613
321,321,321,321,21,NPE,10%,0.0174022285204706
322,322,322,322,22,NPE,10%,0.4844407747446474
323,323,323,323,23,NPE,10%,0.4348368797556817
324,324,324,324,24,NPE,10%,0.1626439133269729
325,325,325,325,25,NPE,10%,0.3013236081459359
326,326,326,326,26,NPE,10%,0.303901024392409
327,327,327,327,27,NPE,10%,0.4143879241518259
328,328,328,328,28,NPE,10%,0.4339537930570729
329,329,329,329,29,NPE,10%,0.3422263487088666
330,330,330,330,30,NPE,10%,0.290202193538971
331,331,331,331,31,NPE,10%,0.4357239192336456
332,332,332,332,32,NPE,10%,0.3188332070635933
333,333,333,333,33,NPE,10%,0.4351072407098165
334,334,334,334,34,NPE,10%,0.294914594507049
335,335,335,335,35,NPE,10%,0.4665016737200556
336,336,336,336,36,NPE,10%,0.4223106996728574
337,337,337,337,37,NPE,10%,0.4672509225375786
338,338,338,338,38,NPE,10%,0.4819708069890182
339,339,339,339,39,NPE,10%,0.3599343206765414
340,340,340,340,40,NPE,10%,0.41239804464953
341,341,341,341,41,NPE,10%,0.3013378736659445
342,342,342,342,42,NPE,10%,0.413266076534408
343,343,343,343,43,NPE,10%,0.5477869349257434
344,344,344,344,44,NPE,10%,0.3028680551433619
345,345,345,345,45,NPE,10%,0.2522025560974391
346,346,346,346,46,NPE,10%,0.0220122918903661
347,347,347,347,47,NPE,10%,0.0808850441828282
348,348,348,348,48,NPE,10%,0.1959109863929631
349,349,349,349,49,NPE,10%,
350,350,350,350,50,NPE,10%,
351,351,351,351,51,NPE,10%,0.4469648366405268
352,352,352,352,52,NPE,10%,0.5355496580846182
353,353,353,353,53,NPE,10%,0.5289042329426298
354,354,354,354,54,NPE,10%,0.2182805310022755
355,355,355,355,55,NPE,10%,0.549567853575496
356,356,356,356,56,NPE,10%,0.3674735734871704
357,357,357,357,57,NPE,10%,0.2490454112213803
358,358,358,358,58,NPE,10%,0.3418078167270977
359,359,359,359,59,NPE,10%,0.3392516414907919
360,360,360,360,60,NPE,10%,0.3589032298195741
361,361,361,361,61,NPE,10%,0.3477003276790212
362,362,362,362,62,NPE,10%,0.2409765314725287
363,363,363,363,63,NPE,10%,0.4270800073363551
364,364,364,364,64,NPE,10%,0.24948381405201
365,365,365,365,65,NPE,10%,0.1705104411145117
366,366,366,366,66,NPE,10%,0.2463101391460298
367,367,367,367,67,NPE,10%,0.2578816544187945
368,368,368,368,68,NPE,10%,0.2554087598161935
369,369,369,369,69,NPE,10%,0.1873951162429805
370,370,370,370,70,NPE,10%,0.6448701743436773
371,371,371,371,71,NPE,10%,0.4835770184495446
372,372,372,372,72,NPE,10%,0.4156142493987053
373,373,373,373,73,NPE,10%,0.51721244987481
374,374,374,374,74,NPE,10%,0.250698344622807
375,375,375,375,75,NPE,10%,0.5131418936176413
376,376,376,376,76,NPE,10%,0.3658438913858118
377,377,377,377,77,NPE,10%,0.4496172400460186
378,378,378,378,78,NPE,10%,0.1738107764116273
379,379,379,379,79,NPE,10%,0.2459496545404954
380,380,380,380,80,NPE,10%,0.4748845716243977
381,381,381,381,81,NPE,10%,0.2462859204823011
382,382,382,382,82,NPE,10%,0.4973605147100568
383,383,383,383,83,NPE,10%,0.4841989376605695
384,384,384,384,84,NPE,10%,0.3112902492050889
385,385,385,385,85,NPE,10%,0.0790206096006315
386,386,386,386,86,NPE,10%,0.3925340602506209
387,387,387,387,87,NPE,10%,0.1432640416866422
388,388,388,388,88,NPE,10%,0.7222074339157553
389,389,389,389,89,NPE,10%,0.5850022745250008
390,390,390,390,90,NPE,10%,0.0716627779279546
391,391,391,391,91,NPE,10%,0.1256259655087763
392,392,392,392,92,NPE,10%,0.2836875314730874
393,393,393,393,93,NPE,10%,0.2133168467756007
394,394,394,394,94,NPE,10%,0.306023222878708
395,395,395,395,95,NPE,10%,
396,396,396,396,96,NPE,10%,0.5636300174257434
397,397,397,397,97,NPE,10%,0.3740494889501395
398,398,398,398,98,NPE,10%,0.4378850454113322
399,399,399,399,99,NPE,10%,0.5373325855803179
400,400,400,400,0,RNPE,10%,0.2518642908745351
401,401,401,401,1,RNPE,10%,0.0356145354366307
402,402,402,402,2,RNPE,10%,0.0383097801322394
403,403,403,403,3,RNPE,10%,0.1132636494250116
404,404,404,404,4,RNPE,10%,0.017606422213469
405,405,405,405,5,RNPE,10%,0.1877792534528436
406,406,406,406,6,RNPE,10%,0.3213441516217894
407,407,407,407,7,RNPE,10%,0.220686193362638
408,408,408,408,8,RNPE,10%,0.0879397208545664
409,409,409,409,9,RNPE,10%,0.2240533884950448
410,410,410,410,10,RNPE,10%,0.4104526813901324
411,411,411,411,11,RNPE,10%,0.1069518247892518
412,412,412,412,12,RNPE,10%,0.2429362044969378
413,413,413,413,13,RNPE,10%,0.3650017746121232
414,414,414,414,14,RNPE,10%,0.1524197895657454
415,415,415,415,15,RNPE,10%,0.1525983701026827
416,416,416,416,16,RNPE,10%,0.3173412522737396
417,417,417,417,17,RNPE,10%,0.2214597875481236
418,418,418,418,18,RNPE,10%,0.4110852498277023
419,419,419,419,19,RNPE,10%,0.3121030380706777
420,420,420,420,20,RNPE,10%,0.2198136541779795
421,421,421,421,21,RNPE,10%,0.1550731295278355
422,422,422,422,22,RNPE,10%,0.3558701627453823
423,423,423,423,23,RNPE,10%,0.2700356898655999
424,424,424,424,24,RNPE,10%,0.1942859881368337
425,425,425,425,25,RNPE,10%,0.0887459447347398
426,426,426,426,26,RNPE,10%,0.2281050558892267
427,427,427,427,27,RNPE,10%,0.3838436721579576
428,428,428,428,28,RNPE,10%,0.314359657893389
429,429,429,429,29,RNPE,10%,0.3198712910141971
430,430,430,430,30,RNPE,10%,0.2540179344180892
431,431,431,431,31,RNPE,10%,0.4940845906617505
432,432,432,432,32,RNPE,10%,0.1212343726643353
433,433,433,433,33,RNPE,10%,0.3755448345844286
434,434,434,434,34,RNPE,10%,0.0249640535710584
435,435,435,435,35,RNPE,10%,0.5302585875485383
436,436,436,436,36,RNPE,10%,0.1786891521873024
437,437,437,437,37,RNPE,10%,0.4405248728956493
438,438,438,438,38,RNPE,10%,0.2747187048929468
439,439,439,439,39,RNPE,10%,0.2573631145765034
440,440,440,440,40,RNPE,10%,0.1275020001098192
441,441,441,441,41,RNPE,10%,0.2266733038020654
442,442,442,442,42,RNPE,10%,0.4278836094870092
443,443,443,443,43,RNPE,10%,0.1241230613752066
444,444,444,444,44,RNPE,10%,0.1807202949099097
445,445,445,445,45,RNPE,10%,0.2435734511448997
446,446,446,446,46,RNPE,10%,0.0526419595363538
447,447,447,447,47,RNPE,10%,0.2019159876152951
448,448,448,448,48,RNPE,10%,0.073487703409302
449,449,449,449,49,RNPE,10%,0.2132155894276136
450,450,450,450,50,RNPE,10%,0.2883330433284597
451,451,451,451,51,RNPE,10%,0.2989104149160757
452,452,452,452,52,RNPE,10%,0.1626917864097005
453,453,453,453,53,RNPE,10%,0.0259672437178914
454,454,454,454,54,RNPE,10%,0.2443084173199918
455,455,455,455,55,RNPE,10%,0.1980543227834406
456,456,456,456,56,RNPE,10%,0.3826860243120548
457,457,457,457,57,RNPE,10%,0.1897739381236122
458,458,458,458,58,RNPE,10%,0.3689374902940702
459,459,459,459,59,RNPE,10%,0.3018534287497599
460,460,460,460,60,RNPE,10%,0.5033039832980715
461,461,461,461,61,RNPE,10%,0.0593319448763906
462,462,462,462,62,RNPE,10%,0.3959151797000174
463,463,463,463,63,RNPE,10%,0.0829950890064642
464,464,464,464,64,RNPE,10%,0.1883253067659466
465,465,465,465,65,RNPE,10%,0.1053937714496781
466,466,466,466,66,RNPE,10%,0.2599520950027086
467,467,467,467,67,RNPE,10%,0.3345818389587282
468,468,468,468,68,RNPE,10%,0.3183416666348643
469,469,469,469,69,RNPE,10%,0.0714708468170354
470,470,470,470,70,RNPE,10%,0.090631205032777
471,471,471,471,71,RNPE,10%,0.0422284107093677
472,472,472,472,72,RNPE,10%,0.2912197876265344
473,473,473,473,73,RNPE,10%,0.2663618372201378
474,474,474,474,74,RNPE,10%,0.2569719071411067
475,475,475,475,75,RNPE,10%,0.3507915235993345
476,476,476,476,76,RNPE,10%,0.4303975694463539
477,477,477,477,77,RNPE,10%,0.2103340016127708
478,478,478,478,78,RNPE,10%,0.0923088593244758
479,479,479,479,79,RNPE,10%,0.2131113342152286
480,480,480,480,80,RNPE,10%,0.288239281227712
481,481,481,481,81,RNPE,10%,0.1203102564929236
482,482,482,482,82,RNPE,10%,0.3989829760329845
483,483,483,483,83,RNPE,10%,0.076345143689321
484,484,484,484,84,RNPE,10%,0.0545295319548566
485,485,485,485,85,RNPE,10%,0.0610278107433507
486,486,486,486,86,RNPE,10%,0.0244377139021189
487,487,487,487,87,RNPE,10%,0.1651511123896899
488,488,488,488,88,RNPE,10%,0.0306059516598815
489,489,489,489,89,RNPE,10%,0.3331180718537035
